fbo_id_1,fbo_id_2,raw_address_1,raw_address_2,similarity_score,block_key,house_number_1,house_number_2,high_confidence,locality_match
22822033000340,22822033000247,"B/87C/H/1 COSSIPORE ROAD, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","110 COSSIPURE ROAD, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",91.58,pin_700002,,110,False,False
22822033000525,22825033000200,"B57/7 H/83 B T ROAD, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","34C/1A B T ROAD, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",90.11,pin_700002,,34C/1A,False,False
22823033000361,22822033000247,"B/37A/H/1 COSSIPORE ROAD , BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","110 COSSIPURE ROAD, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",90.05,pin_700002,,110,False,False
22822033000607,22822033000247,"B/35/1/H/3 COSSIPORE ROAD, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","110 COSSIPURE ROAD, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",91.1,pin_700002,,110,False,False
22824033000075,22823033000119,"B/1/1/H/28, DUM DUM ROAD, KOL - 2, WARD - 002, BOROUGH - I, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","B/35/1/H/1, COSSIPORE ROAD, KOL - 2, WARD - 001, BOROUGH - I, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",90.98,pin_700002,,,False,False
22824033000077,22823033000119,"B/1/1/H/29, DUM DUM ROAD, KOL - 2, WARD - 002, BOROUGH - I, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","B/35/1/H/1, COSSIPORE ROAD, KOL - 2, WARD - 001, BOROUGH - I, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",90.98,pin_700002,,,False,False
22821033000377,22822033000037,"T 57/6/3B, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","1/1/65, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",93.25,pin_700002,,1/1/65,False,False
22822035000405,22822033000247,"B/29/H/21 COSSIPORE ROAD, BOROUGH- III, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","110 COSSIPURE ROAD, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",90.62,pin_700002,,110,False,False
22822033000247,22822033000413,"110 COSSIPURE ROAD, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","B/99/H/12/1A COSSIPORE ROAD, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",90.16,pin_700002,110,,False,False
22822033000247,22822033000604,"110 COSSIPURE ROAD, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","T-110/1D COSSIPORE ROAD, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",92.06,pin_700002,110,,False,False
22822033000247,22822033000282,"110 COSSIPURE ROAD, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","B/29/H/11 COSSIPORE ROAD, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",91.58,pin_700002,110,,False,False
22822033000247,22826033000107,"110 COSSIPURE ROAD, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","B/87A/H/7 COSSIPORE ROAD , BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",90.05,pin_700002,110,,False,False
