fbo_id,source_db,raw_address
22820046000004,registration,"1562, JOYRAMPUR JALA ROAD(2/153, RABINDRA NAGAR, M.B.ROAD), WARD NO-129, BOROUGH-XIV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700060"
22820046000013,registration,"109 RAJA RAM MOHAN ROY ROAD, MUCHI PARA BAZAR, KOL-41, BOROUGH-XIV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700041"
22820042000031,registration,"INDRANI BISWAS (PROPRIETOR) 56, JODHPUR PARK, WARD- 93, BOROUGH-X, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700068"
22820038000006,registration,"94A, RIPON STREET, GROUND FLOOR, KOLKATA 700016, WARD 062 BR VI, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700016"
22820037000010,registration,"21,HEMANTA BASU SARANI,5TH FLOOR,ROOM NO.-508,WARD NO.-045,KOLKATA-700001 , BOROUGH- V, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700001"
22820042000025,registration,"27A KHSETRA MOHAN NASKAR ROAD, BOROUGH-X, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700040"
22820046000011,registration,"305,MAHENDRA BANERJEE ROAD,MAIL-P-36,ATUL DUTTA GARDEN KOLKATA, BOROUGH-XIV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700060"
22820040000010,registration,"36/1E/1K/1 Topsia road near VIP Masjid kolkata 700039  , BOROUGH- VIII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700039"
22819041000008,registration,"48,KALIGHAT ROAD,WARD NO.-73, BOROUGH- IX, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700026"
22820042000030,registration,"25, GARIAHAT ROAD (SOUTH)_x000d_
WARD NO:092_x000d_
BOROUGH NO:X_x000d_
KOLKATA-700031, BOROUGH-X, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700031"
22820036000013,registration,"42,VIVEKANANDA ROAD,KOLKATA-700007,WARD-025,BR-IV, BOROUGH-IV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700007"
22820038000023,registration,"97/1A,Topsia Road Kol-700039 , BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700039"
22820038000007,registration,"50/1, SURENDRA NATH BANERJEE ROAD, GROUND FLOOR, WD-53, BR-VI, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014"
22820040000029,registration,"8/43 fern road kolkata 700019 , BOROUGH- VIII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700019"
22820042000038,registration,"197, JODHPUR GARDENS_x000d_
WARD NO:093_x000d_
BOROUGH NO:X_x000d_
KOLKATA-700045, BOROUGH-X, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700045"
22820039000013,registration,"STALL NO.2, BLOCK: MST (A), PARK CIRCUS MARKET, 47, USTAD ENAYET KHAN AVENUE,G FL.,WD-64, BR-VII, BOROUGH- VII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700017"
22820048000006,registration,"DIAMOND HARBOUR ROAD,MAIL-EAST BARISHA GOVT.COLONY,KOL-63, BOROUGH-XVI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700063"
22820046000017,registration,"258D MAHENDRA BANERJEE ROAD ,MAIL-1,RABINDRA NAGAR KOLKATA, BOROUGH-XIV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700060"
22820034000017,registration,"33 GORA CHAND BOSE ROAD KOLKATA, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006"
22820035000025,registration,"13/A,surah cross lane, BOROUGH- III, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700010"
22820036000034,registration,"BI-198 , KRISHNAPUR, MAJHER PARA , KOLKATA, BOROUGH-IV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700102"
22820046000016,registration,"KASTA DANGA ROAD SARSUNA NEAR SUPER MARKET KOLKATA-700061, BOROUGH-XIV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700061"
22820038000008,registration,"P-54 NANI GOPAL ROY CHOWDHURY AVENUE , BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014"
22820035000010,registration,"B 81, H/1, Dr. Surendra Chandra Banerjee Road, Beleghata  Kolkata 700010, BOROUGH- III, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700010"
22820039000014,registration,"59/1/C, TILJALA ROAD, GROUND FLOOR, KOLKATA 700046, WARD 059 BR VII, BOROUGH- VII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700046"
22820033000006,registration,"49/51/52 (T-49B), LOCK GATE ROAD, WARD- 006, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002"
22820042000039,registration,"0, PRINCE ANWAR SHAH ROAD_x000d_
91, JODHPUR GARDEN_x000d_
WARD NO:93_x000d_
BOROUGH NO:X_x000d_
KOLKATA 700045, BOROUGH-X, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700045"
22820041000012,registration,"B/49/5/H/29, KARL MARX SARANI, KOLKATA-23, WARD NO.79, BOROUGH- IX, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700023"
22820041000016,registration,"55A, SAMBHUNATH PANDIT STREET, KOLKATA-25, WARD NO.71, BOROUGH- IX, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700025"
22820038000011,registration,"1/1, MEREDITH STREET,_x000d_
GROUND FLOOR,_x000d_
WARD NO - 46, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700072"
22820041000017,registration,"106, DIAMOND HARBOUR ROAD, KOLKATA-23, WARD NO.77, BOROUGH- IX, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700023"
