fbo_id_1,fbo_id_2,raw_address_1,raw_address_2,similarity_score,block_key,house_number_1,house_number_2,high_confidence
22821037000110,22825037000222,"118B  ACHARYAQ JAGADISH BOSE ROAD, BOROUGH- V, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","118B, ACHARYA JAGADISH BOSE ROAD, KMC WARD NO. - 050, BOROUGH- V, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",90.52,pin_700014,118B,118B,True
22821037000110,22821037000576,"118B  ACHARYAQ JAGADISH BOSE ROAD, BOROUGH- V, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","118B ACHARYA JAGADISH BOSE ROAD,WARD-50, BOROUGH- V, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",95.89,pin_700014,118B,118B,True
22824038000045,22824038000041,"2, DR LAL MOHAN BHATTACHARYA ROAD, WARD - 55, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/90/H/5 DR. LAL MOHAN BHATTACHARYYA ROAD, WARD NO.- 055, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",91.13,pin_700014,2,,False
22824038000045,22822038000085,"2, DR LAL MOHAN BHATTACHARYA ROAD, WARD - 55, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/90/H/9, DR LAL MOHAN BHATTACHARYA ROAD, WARD 55, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",93.78,pin_700014,2,,False
22820039000072,22825039000186,"6B RAMESHWAR SHAW ROAD , BOROUGH- VII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/8/H/1 RAMESHWAR SHAW ROAD, BOROUGH- VII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",93.07,pin_700014,6B,,False
22824038000061,22823038000393,"119, C.I.T. SCH. LV, WARD NO-55, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","P-3, C.I.T. SCH. LV., Ward 55, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",91.35,pin_700014,119,,False
22824038000061,22820038000172,"119, C.I.T. SCH. LV, WARD NO-55, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","P-4B C.I.T.ROAD SCH LV WARD NO-55, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",92.45,pin_700014,119,,False
22822038000098,22822038000122,"4/1,CHHATU BABU LANE WARD NO.55, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","4/1, CHATU BABU LANE, WARD NO. 55, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",90.57,pin_700014,4/1,4/1,True
22822038000101,22818038000111,"B/2C/H/7, CHHATU BABU LANE, WAR NO. 55, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/3C/H/5 CHATU BABU LANE WARD-55, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",90.83,pin_700014,55,,False
22822038000101,22824038000183,"B/2C/H/7, CHHATU BABU LANE, WAR NO. 55, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/2A/H/19 CHATU BABU LANE, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",91.0,pin_700014,55,,False
22822038000101,22822038000252,"B/2C/H/7, CHHATU BABU LANE, WAR NO. 55, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/3B/H/1, CHHATU BABU LANE, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",91.51,pin_700014,55,,False
22822038000099,22825038000238,"6,DR LAL MOHAN BHATTACHARYYA ROAD WARD NO.59, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","6, DR LAL MOHAN BHATTACHARYYA  ROAD, WARD NO-55, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",95.8,pin_700014,6,6,True
22822038000099,22824038000041,"6,DR LAL MOHAN BHATTACHARYYA ROAD WARD NO.59, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/90/H/5 DR. LAL MOHAN BHATTACHARYYA ROAD, WARD NO.- 055, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",90.32,pin_700014,6,,False
22818019002820,22824039000352,"B/8/H/1, RAMESHWAR SHAW ROAD_x000d_
WARD NO 59, BOROUGH- VII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/6/1A/H/6, RAMESHWAR SHAW ROAD, WARD NO-59, BOROUGH- VII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",90.46,pin_700014,59,,False
22818019002820,22825039000186,"B/8/H/1, RAMESHWAR SHAW ROAD_x000d_
WARD NO 59, BOROUGH- VII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/8/H/1 RAMESHWAR SHAW ROAD, BOROUGH- VII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",90.67,pin_700014,59,,False
22818019002820,22821039000393,"B/8/H/1, RAMESHWAR SHAW ROAD_x000d_
WARD NO 59, BOROUGH- VII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/6/1B/H/1, RAMESHWAR SHAW ROAD, WARD NO-59, BOROUGH- VII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",91.29,pin_700014,59,,False
22824039000142,12824019001792,"21F GORA CHAND ROAD, SHOP-3, WARD-64, BOROUGH- VII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","21F GORA CHAND ROAD, SHOP-3, WARD-64, BOROUGH-VII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",95.96,pin_700014,21F,21F,True
22822038000186,22820038000064,"B/7/H/9, HATI BAGAN ROAD, WARD-54, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/7/H/9, HATI BAGAN ROAD, WARD NO 54, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",94.93,pin_700014,,54,False
